depto_aplicacion,AstraZeneca,COVISHIELD,Sinopharm,Sputnik
Capital,0,8148,18708,25913
Guaymallén,0,240,2055,20847
Maipú,0,2,1104,18737
Las Heras,54,1567,5848,16889
Luján de Cuyo,0,612,402,15810
Godoy Cruz,557,1554,1312,15546
San Rafael,0,3486,10495,10667
San Martín,3394,814,1336,7169
Rivadavia,1601,2242,1962,4333
Tunuyán,0,767,2415,4228
General Alvear,0,538,2560,4007
Junín,1759,252,1533,2921
San Carlos,0,93,1890,2861
Lavalle,0,308,1809,2252
Santa Rosa,1065,184,706,1641
Tupungato,0,228,1335,1466
Malargüe,0,871,1491,1116
La Paz,544,221,262,762
